"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.596507000E-2,8.853443712E-2,1.722832322E-1,9.798908234E0,9.800822538E0
3.837204900E-2,1.004985496E-1,1.698904037E-1,9.798908234E0,9.800896147E0
4.077902800E-2,1.028913707E-1,1.483550072E-1,9.796515465E0,9.798178968E0
4.318606000E-2,1.004985496E-1,1.459621787E-1,9.803693771E0,9.805295328E0
4.559303900E-2,8.614161611E-2,1.435693651E-1,9.784550667E0,9.785983052E0
4.800001800E-2,9.810572863E-2,1.507478207E-1,9.786943436E0,9.788595990E0
5.040699700E-2,8.853443712E-2,1.674975902E-1,9.798908234E0,9.800739582E0
5.281397600E-2,8.374879509E-2,1.531406492E-1,9.798908234E0,9.800462667E0
5.522095600E-2,9.332008660E-2,1.531406492E-1,9.794121742E0,9.795763441E0
5.762793500E-2,9.571290761E-2,1.674975902E-1,9.791728973E0,9.793629189E0
6.003491400E-2,9.092725813E-2,1.531406492E-1,9.806086540E0,9.807703761E0
6.244189300E-2,9.571290761E-2,1.603191197E-1,9.808479309E0,9.810256344E0
6.484887200E-2,1.004985496E-1,1.435693651E-1,9.801301003E0,9.802867614E0
6.725585100E-2,9.571290761E-2,1.531406492E-1,9.791728973E0,9.793394167E0
6.966288300E-2,8.853443712E-2,1.459621787E-1,9.801301003E0,9.802787596E0
7.206986200E-2,8.853443712E-2,1.555334777E-1,9.796515465E0,9.798150043E0
7.447684100E-2,7.896314561E-2,1.603191197E-1,9.794121742E0,9.795752044E0
7.688382000E-2,7.657032460E-2,1.531406492E-1,9.796515465E0,9.798011550E0
7.929079900E-2,9.092725813E-2,1.674975902E-1,9.798908234E0,9.800761490E0
8.169777800E-2,9.092725813E-2,1.722832322E-1,9.794121742E0,9.796058900E0
8.410475800E-2,8.614161611E-2,1.555334777E-1,9.796515465E0,9.798128714E0
8.651173700E-2,8.853443712E-2,1.555334777E-1,9.784550667E0,9.786187243E0
8.891871600E-2,7.896314561E-2,1.531406492E-1,9.784550667E0,9.786067596E0
9.132569500E-2,8.614161611E-2,1.555334777E-1,9.789336205E0,9.790950636E0
9.373267400E-2,9.332008660E-2,1.579262912E-1,9.789336205E0,9.791054728E0
9.613965300E-2,8.374879509E-2,1.435693651E-1,9.808479309E0,9.809887480E0
9.854668500E-2,9.571290761E-2,1.387837082E-1,9.798908234E0,9.800358384E0
1.009536640E-1,8.853443712E-2,1.363908947E-1,9.782157898E0,9.783509287E0
1.033606430E-1,7.417750359E-2,1.363908947E-1,9.784550667E0,9.785782367E0
1.057676220E-1,7.178468257E-2,1.507478207E-1,9.798908234E0,9.800330633E0
1.081746010E-1,9.332008660E-2,1.579262912E-1,9.808479309E0,9.810194479E0
1.105815810E-1,7.896314561E-2,1.459621787E-1,9.801301003E0,9.802705824E0
1.129885600E-1,1.004985496E-1,1.459621787E-1,9.798908234E0,9.800510573E0
1.153955390E-1,9.571290761E-2,1.627119333E-1,9.803693771E0,9.805511088E0
1.178025180E-1,1.004985496E-1,1.555334777E-1,9.796515465E0,9.798265452E0
1.202094970E-1,9.092725813E-2,1.411765367E-1,9.803693771E0,9.805131827E0
1.226164760E-1,8.614161611E-2,1.579262912E-1,9.796515465E0,9.798166989E0
1.250235080E-1,9.571290761E-2,1.674975902E-1,9.801301003E0,9.803199363E0
1.274304870E-1,6.939185411E-2,1.627119333E-1,9.798908234E0,9.800504731E0
1.298374660E-1,8.853443712E-2,1.698904037E-1,9.779765129E0,9.781641328E0
1.322444450E-1,8.853443712E-2,1.507478207E-1,9.777372360E0,9.778935194E0
1.346514240E-1,1.004985496E-1,1.555334777E-1,9.786943436E0,9.788695134E0
1.370584030E-1,8.614161611E-2,1.579262912E-1,9.806086540E0,9.807736453E0
1.394653830E-1,9.092725813E-2,1.411765367E-1,9.803693771E0,9.805131827E0
1.418723620E-1,9.810572863E-2,1.746760458E-1,9.794121742E0,9.796170535E0
1.442793410E-1,9.332008660E-2,1.674975902E-1,9.791728973E0,9.793606096E0
1.466863200E-1,9.810572863E-2,1.435693651E-1,9.791728973E0,9.793272854E0
1.490932990E-1,1.028913707E-1,1.627119333E-1,9.786943436E0,9.788836684E0
1.515002780E-1,9.332008660E-2,1.459621787E-1,9.779765129E0,9.781299483E0
1.539073100E-1,1.004985496E-1,1.411765367E-1,9.777372360E0,9.778907968E0
1.563142890E-1,1.004985496E-1,1.555334777E-1,9.791728973E0,9.793479816E0
1.587212680E-1,9.810572863E-2,1.555334777E-1,9.803693771E0,9.805418245E0
1.611282470E-1,9.092725813E-2,1.483550072E-1,9.813264847E0,9.814807381E0
1.635352260E-1,1.004985496E-1,1.411765367E-1,9.796515465E0,9.798048072E0
1.659422060E-1,9.332008660E-2,1.363908947E-1,9.808479309E0,9.809871430E0
1.683491850E-1,8.374879509E-2,1.555334777E-1,9.806086540E0,9.807677491E0
1.707561640E-1,7.417750359E-2,1.579262912E-1,9.808479309E0,9.810031059E0
1.731631430E-1,9.092725813E-2,1.483550072E-1,9.810872078E0,9.812414988E0
1.755701220E-1,9.332008660E-2,1.459621787E-1,9.815657616E0,9.817186360E0
1.779771010E-1,1.004985496E-1,1.674975902E-1,9.798908234E0,9.800854961E0
1.803841330E-1,9.092725813E-2,1.627119333E-1,9.789336205E0,9.791110574E0
1.827911120E-1,1.052841991E-1,1.483550072E-1,9.791728973E0,9.793418722E0
1.851980910E-1,8.374879509E-2,1.603191197E-1,9.794121742E0,9.795791789E0
